Rank,title,AuthorName,Language,Price_normal,Id
3530,Grøflen,Julia Donaldson,Dansk,129.95,9788779166219
3531,KLUDEKRÆMMEREN FORTSÆTTER,Dorte Hummelshøj Jakobsen,Dansk,99.95,9788793197848
3532,Stressbehandling med metakognitiv terapi ,Linda Burlan Sørensen,Dansk,239.95,9788793201231
3533,GAPS-kogebogen,Signe Gad,Dansk,199.95,9788793575202
3534,Mærkbarhed,Imran Rashid,Dansk,189.95,9788797295519
3535,Kunsten at koge et æg,Susanne Teglkamp,Dansk,84.95,9788797305133
3536,Karolines Kager,Karolines Køkken,Dansk,49.95,9788799589487
3537,Brødre af Blodet 1,Eva Egeskjold,Dansk,54.95,9788799889761
3538,Brødre af Blodet 2,Eva Egeskjold,Dansk,54.95,9788799889778
3539,Brødre af Blodet 3,Eva Egeskjold,Dansk,54.95,9788799889785
3540,Brødre af Blodet 4,Eva Egeskjold,Dansk,54.95,9788799889792
3541,Brødre af Blodet 5,Eva Egeskjold,Dansk,54.95,9788799917600
3542,BRAND sense,Martin Lindstrom,Engelsk,142.13,9781439103456
3543,"Turen går til Tenerife, La Gomera, La Palma & El Hierro",Mia Hove Christensen,Dansk,35.0,9788740066258
3544,Fradrag 2023,John Hannover,Dansk,99.95,9788771962819
3545,Marco Effekten,Jussi Adler-Olsen,Dansk,139.95,9788740009903
3546,Sejrens by,Salman Rushdie,Dansk,129.95,9788702394030
3547,Pottetræning på 3 dage,Sofia Bergenstjerna,Dansk,279.95,9789198605037
3548,Kålhydrater,Anette Sams,Dansk,129.95,9788702331455
3549,KANNIBAL,Nis Jakob,Dansk,79.95,9788793660373
3550,Turen går til Marokko,Michelle Arrouas,Dansk,35.0,9788740063691
3551,Enten - Eller,Søren Kierkegaard,Dansk,34.95,9788793374836
3552,Byen og havet,Keld Conradsen,Dansk,159.95,9788770077538
3553,Allen Carr''s Easy Way to Stop Smoking,Allen Carr,Engelsk,89.95,9781405923323
3554,Frederik 5.,Søren Mentz,Dansk,239.95,9788712076445
3555,ELIKSIR,Nis Jakob,Dansk,79.95,9788793660304
3556,Døden kører Audi,Kristian Bang Foss,Dansk,49.95,9788702130751
3557,Gevinstrealisering,Jesper Johannes Krøyer Lind,Dansk,199.95,9788750045397
3558,Murder Is Easy,Agatha Christie,Engelsk,65.14,9780007422531
3559,Ordeal by Innocence,Agatha Christie,Engelsk,59.95,9780007422647
3560,Read Dangerously,Azar Nafisi,Engelsk,130.38,9780062947383
